programme_name_corecat,programme_name_pes,programme_name_sales,genre,subgenre,synopsis,pes_views,revenue
Bullseye,,BULLSEYE,Entertainment,Quiz and Game Shows,Game show hosted by Jim Bowen. Contestants test their darts skills and general knowledge in a battle to get to Bully's Prize Board.,,1127000.0
Fake Reaction,Fake Reaction,,Entertainment,Quiz and Game Shows,Two teams try to keep a straight face while secretly enduring anything from an electric shock to having a bird peck food off their head.,7,
Ninja Warrior UK,Ninja Warrior UK,NINJA WARRIOR UK,Entertainment,Quiz and Game Shows,Ninja Warrior sees 250 competitors take on the tough obstacle course. Can any survive to the end to scale Mount Midoriyama and be crowned 'Ninja Warrior UK'?,747760,332918.95999999996
Re-Play,Re-Play,,Entertainment,Quiz and Game Shows,End of year roundup where celebrity guests take part in a series of rounds and games to see how much attention they've been paying to the events of the last 12 months.,15252,
Who Wants to Be a Millionaire? Celebrity Specials,Who Wants to Be a Millionaire? Celebrity Specials,,Entertainment,Quiz and Game Shows,"Host Jeremy Clarkson welcomes more famous faces, all trying to win big money for their chosen charities.",225749,
The Switch,The Switch,THE SWITCH,Entertainment,Quiz and Game Shows,"Switch is a fast paced, incredibly high question volume quiz that’s full of variety, dramatic twists and most importantly of all – huge amounts of playalong for the viewers.",25705,19000.0
Tipping Point: Best Ever Finals,Tipping Point: Best Ever Finals,,Entertainment,Quiz and Game Shows,"Relive some of the most dramatic end games in Tipping Point history, including agonising trades and jackpot counters teetering on the edge!",110133,
Alphabetical,Alphabetical,ALPHABETICAL,Entertainment,Quiz and Game Shows,"Fast-paced quiz show hosted by Jeff Stelling. Each episode sees three new contestants face a series of questions based on the 26 letters of the alphabet, as they compete to beat the reigning champion and win an ever-increasing rollover jackpot.",19817,111530.2
Five Star Family Reunion,,FIVE STAR FAMILY REUNION,Entertainment,Quiz and Game Shows,General knowledge quiz where family members play across the globe in an attempt to win a family reunion holiday and a cash jackpot.,,31724.0
Who Dares Wins,,WHO DARES WINS,Entertainment,Quiz and Game Shows,"National Lottery quiz where two teams of strangers play against each other to complete a series of lists and win up to 100,000 pounds. Includes the Lotto and Thunderball draws.",,135430.96
Quizduell,,QUIZDUELL,Entertainment,Quiz and Game Shows,"A team of four studio contestants challenge Germany's cumulative knowledge. Via the Quizduell TV-version of the app, Germany's audience can play live against the contestants in the studio, with the winner earning a big cash prize.",,348354.13
Don't Unleash the Beast,Don't Unleash the Beast,,Childrens,Quiz and Game Shows,Game show set in the mythological underground world of Halian. A team of three intrepid treasure seekers face a series of obstacles in their quest to retrieve ancient artefacts.,48386,
Massive Monster Mayhem,Massive Monster Mayhem,,Childrens,Quiz and Game Shows,Game show that combines live-action and CGI animated elements. Three kids compete in a series of challenges for a chance to take on one of Master Mayhem's Master Mayhem while the monsters wreak havoc on Earth.,63398,
Celebrity Juice,Celebrity Juice,,Entertainment,Quiz and Game Shows,The tabloid focused quiz show based on the nation's obsession with all things celebrity. Hosted by Keith Lemon.,3719266,
Tipping Point,Tipping Point,TIPPING POINT,Entertainment,Quiz and Game Shows,"Ben Shephard hosts the quiz show in which four players take on an extraordinary machine in the hope of winning it's 10,000 pound jackpot.",1040926,8568.8
5 Gold Rings,5 Gold Rings,5 GOLD RINGS,Entertainment,Quiz and Game Shows,"Gameshow where players are asked a sequence of pictorial questions, and to get the answer correct they must pick up one of their five gold rings and put it accurately around the answer on the circular LED floor.",189238,469452.0
Bigheads,Bigheads,,Entertainment,Quiz and Game Shows,Every week eight members of the public are transformed into the world’s most famous celebrities by donning giant heads and completing an obstacle course.,21929,
The Chase (USA),,THE CHASE (USA),Entertainment,Quiz and Game Shows,"Quiz show where three contestants must pit their wits against the Chaser, a ruthless quiz genius determined to stop them winning the cash prize.",,1078537.0
Supermarket Sweep,Supermarket Sweep,,Entertainment,Quiz and Game Shows,Three teams of two attempt to add time to their clocks by answering questions and riddles posed by host Dale Winton. The time is used to go wild in the aisles as the teams grab as many highly-priced items as possible for their respective trolleys.,584122,
The Family Chase,The Family Chase,THE FAMILY CHASE,Entertainment,Quiz and Game Shows,"Family version of the popular quiz show hosted by Bradley Walsh, which sees a different family per episode join forces as they attempt to beat the Chaser in order to win cash prizes. Which family has what it takes to beat the Chaser and win big?",156748,137014.89
Take the Tower,Take the Tower,TAKE THE TOWER,Entertainment,Quiz and Game Shows,"Action-packed, movie-themed game show. Contestants must climb the tower by winning a series of mental and physical challenges, which are all based on the tropes of Hollywood action films.",22836,3000.0
Game Of Talents,Game Of Talents,,Entertainment,Quiz and Game Shows,Vernon Kay hosts the series where game shows and talent shows collide to create a guessing game like no other as contestants aim to guess the talents of eight performers.,206532,
University Challenge,,UNIVERSITY CHALLENGE,Entertainment,Quiz and Game Shows,Teams from British universities compete against each other to answer questions on any topic under the sun. The standard is high and the questions are difficult.,,31511.74
Rolling In It,Rolling In It,,Entertainment,Quiz and Game Shows,"Three members of the public try to win thousands of pounds on one of the biggest arcade games in the world. But, they'll need to be lucky because everything can change on the roll of a coin.",295359,
The Chase,The Chase,THE CHASE,Entertainment,Quiz and Game Shows,"Quiz show where four contestants must pit their wits against the Chaser, a ruthless quiz genius determined to stop them winning the cash prize.",2872439,13941662.0
Britain's Brightest Family,Britain's Brightest Family,BRITAIN'S BRIGHTEST FAMILY,Entertainment,Quiz and Game Shows,"The Governess, also known as Anne Hegerty, hosts a brand new quiz in which sixteen brilliantly bright families take part in a knock out tournament as they attempt to win the holiday of a lifetime and the title of Britain's Brightest Family.",200465,50550.0
The Cube,The Cube,,Entertainment,Quiz and Game Shows,"Contestants battle to win a top prize of 250,000 pounds. Each of them must complete apparently simple tasks while under the spotlight in a large perspex cube; each task is worth a prize and the contestants will have to work hard to stay in the game.",412654,
Rebound,Rebound,,Entertainment,Quiz and Game Shows,"Sean Fletcher hosts the quick-fire quiz of knowledge and nerve as six contestants go head-to-head and attempt to defeat their fellow opponents in a variety of quick-fire question and answer battles, all in a bid to win big money.",1643,
Big Star's Little Star (USA),,BIG STAR'S LITTLE STAR (USA),Entertainment,Quiz and Game Shows,Comedy game show where celebrities and their children compete for money for charity.,,72000.0
Release the Hounds,Release the Hounds,,Entertainment,Quiz and Game Shows,Horror gameshow where brave people step inside the gates of an eerie estate in their quest to win a large cash prize.,268877,
The Void,The Void,THE VOID,Entertainment,Quiz and Game Shows,"In this physical gameshow, contestants take on a wide range of demanding mental and physical challenges, all whilst navigating the terrifying prospect of falling into ‘The Void’ - a chasm of 520,000 litres of water stretching across the arena floor.",122100,56000.0
The Chase: The Bloopers,The Chase: The Bloopers,THE CHASE: THE BLOOPERS,Entertainment,Quiz and Game Shows,"Featuring outtakes, bloopers, and all the bits you were never meant to see from The Chase!",280727,15469.18
Without Prejudice?,,WITHOUT PREJUDICE?,Entertainment,Quiz and Game Shows,A panel of ordinary members of the public is given the chance to 'play God' and change the course of somebody's life by awarding one of five contestants a life changing sum of money.,,5000.0
Russian Roulette,,RUSSIAN ROULETTE,Entertainment,Quiz and Game Shows,"Quiz show hosted by Rhona Cameron, in which the celebrity players who answer incorrectly are dropped through trap doors to disqualification - leaving the winner to donate a cash prize to charity.",,5884.78
Family Fortunes,Family Fortunes,FAMILY FORTUNES,Entertainment,Quiz and Game Shows,"The popular family quiz show, Family Fortunes, where families from around Britain compete to predict the top answers to those famous surveys and play for the chance of a cash jackpot.",430625,979000.0
Moneyball,Moneyball,,Entertainment,Quiz and Game Shows,"An exciting prime time game show hosted by football legend, Ian Wright, where the difference between the contestants winning life-changing money and going home with nothing rests entirely on the bounce of a ball.",70441,
Britain's Brightest Celebrity Family,Britain's Brightest Celebrity Family,BRITAIN'S BRIGHTEST CELEBRITY FAMILY,Entertainment,Quiz and Game Shows,"A seven-part celebrity edition of the quiz show, hosted by Anne Hegerty. Eight celebrity families battle it out in a series of knockout tournaments, all to win £25,000 for their chosen charity - and the title of Britain’s Brightest Celebrity Family.",232743,49000.0
Bromans,Bromans,,Entertainment,Quiz and Game Shows,Eight 21st century lads are to be transported back to the Roman Empire to see if they can cut it as gladiators with help from their loving girlfriends. They may have the muscles but do these lads have what it takes to go down in history?,177194,
Top Class,,TOP CLASS,Childrens,Quiz and Game Shows,Quiz show for competing schools to find the Top Class. Hosted by Susan Calman.,,849.11999999999989
Don't Ask Me Ask Britain,Don't Ask Me Ask Britain,,Entertainment,Quiz and Game Shows,"Interactive comedy game show hosted by Alexander Armstrong that uses an app to poll the viewing public on moral dilemmas big and small, while two celebrity teams go head-to-head to try to second-guess the views of the nation.",12667,
Australian Ninja Warrior,Australian Ninja Warrior,,Entertainment,Quiz and Game Shows,"Rebecca Maddern, Ben Fordham and Freddie Flintoff present as contestants try to prove they have what it takes to conquer the course and reach the top of Mt Midoriyama.",99429,
